"Date","Start_Time","Event_Type","Duration_Seconds","Seconds_Paused","Calories_Burned","Calories_Burned_Carbs","Calories_Burned_Fats","HR_Lowest","HR_Peak","HR_Average","UV_Exposure_Minutes","Total_Miles_Moved","Cardio_Benefit","Minutes_Under_50%_HR","Minutes_In_HRZ_Very_Light_50%_60%","Minutes_In_HRZ_Light_60%_70%","Minutes_In_HRZ_Moderate_70%_80%","Minutes_In_HRZ_Hard_80%_90%","Minutes_In_HRZ_Very_Hard_90%_Plus","HR_Finish","HR_Recovery_Rate_1_Min","HR_Recovery_Rate_2_Min","Recovery_Time_Seconds","Bike_Average_MPH","Bike_Max_MPH","Elevation_Highest_Feet","Elevation_Lowest_Feet","Elevation_Gain_Feet","Elevation_Loss_Feet","Climb_Rate_Feet_Per_Hour","Walk_Active_Seconds","Walk_Resting_Seconds","Wake_Up_Time","Seconds_Awake","Seconds_Asleep_Total","Seconds_Asleep_Restful","Seconds_Asleep_Light","Wake_Ups","Seconds_to_Fall_Asleep","Sleep_Efficiency","Sleep_Restoration","Sleep_HR_Resting","Sleep_Auto_Detect","GW_Plan_Name","GW_Reps_Performed","GW_Rounds_Performed","Golf_Course_Name","Golf_Course_Par","Golf_Total_Score","Golf_Par_or_Better","Golf_Pace_of_Play_Minutes","Golf_Longest_Drive_Yards"
"2016-02-14","2016-02-14 10:59:16","Exercise","8492","1","1709","748","961","73","165","130","0","","Improving","5","17","54","11","52","0","134","","","103680","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-15","2016-02-15 01:40:49","Sleep","18282","0","475","","","39","100","55","0","","","","","","","","","","","","","","","","","","","","","","2016-02-15 06:43:02","1078","17203","6262","10941","1","569","97","Moderate","41","Manual","","","","","","","","",""
"2016-02-16","2016-02-16 00:38:22","Sleep","26428","0","691","","","39","90","57","0","","","","","","","","","","","","","","","","","","","","","","2016-02-16 07:48:21","9798","16630","5602","11028","5","5753","82","Moderate","44","Manual","","","","","","","","",""
"2016-02-17","2016-02-17 00:11:41","Sleep","50578","0","1367","","","38","102","58","0","","","","","","","","","","","","","","","","","","","","","","2016-02-17 06:36:30","28328","22249","7514","14735","3","299","97","Good","41","Manual","","","","","","","","",""
"2016-02-17","2016-02-17 22:05:05","Run","2621","4","485","338","147","84","172","110","0","3.56727958721069","Strenuous","21","11","8","2","1","1","90","","","259200","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-18","2016-02-18 01:38:28","Sleep","22312","0","560","","","43","85","56","0","","","","","","","","","","","","","","","","","","","","","","2016-02-18 07:36:23","2452","19860","9629","10231","4","209","93","","46","Auto","","","","","","","","",""
"2016-02-18","2016-02-18 20:02:26","Run","2640","0","548","342","206","62","161","125","0","3.54513391791935","Strenuous","7","4","16","1","17","0","102","","","259200","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-19","2016-02-19 01:21:28","Sleep","23106","0","595","","","45","100","58","0","","","","","","","","","","","","","","","","","","","","","","2016-02-19 07:41:05","2484","20621","8797","11824","5","299","91","Moderate","48","Manual","","","","","","","","",""
"2016-02-21","2016-02-21 02:14:21","Sleep","23821","0","593","","","43","93","55","0","","","","","","","","","","","","","","","","","","","","","","2016-02-21 08:48:52","3053","20768","4935","15833","8","359","88","","47","Auto","","","","","","","","",""
"2016-02-21","2016-02-21 10:54:34","Exercise","8060","2","1812","796","1016","76","164","131","19","","Improving","5","10","53","11","54","0","","","","83760","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
